x (m),T (C)
0.000000,24.422847
0.000020,24.422847
0.000060,24.422604
0.000100,24.422119
0.000140,24.421392
0.000180,24.420422
0.000220,24.419210
0.000260,24.417755
0.000300,24.416057
0.000340,24.414117
0.000380,24.411935
0.000420,24.409511
0.000460,24.406844
0.000500,24.403935
0.000540,24.400783
0.000580,24.397389
0.000620,24.393753
0.000660,24.389875
0.000700,24.385754
0.000740,24.381392
0.000780,24.376787
0.000820,24.371940
0.000860,24.366852
0.000900,24.361521
0.000940,24.355948
0.000980,24.350134
0.001020,24.344078
0.001060,24.337780
0.001100,24.331240
0.001140,24.324459
0.001180,24.317437
0.001220,24.310173
0.001260,24.302667
0.001300,24.294920
0.001340,24.286932
0.001380,24.278703
0.001420,24.270233
0.001460,24.261522
0.001500,24.252570
0.001540,24.243377
0.001580,24.233943
0.001620,24.224269
0.001660,24.214354
0.001700,24.204199
0.001740,24.193804
0.001780,24.183168
0.001820,24.172292
0.001860,24.161176
0.001900,24.149821
0.001940,24.138225
0.001980,24.126390
0.002020,24.114315
0.002060,24.102001
0.002100,24.089448
0.002140,24.076655
0.002180,24.063623
0.002220,24.050352
0.002260,24.036843
0.002300,24.023095
0.002340,24.009108
0.002380,23.994883
0.002420,23.980420
0.002460,23.965719
0.002500,23.950779
0.002540,23.935602
0.002580,23.920187
0.002620,23.904535
0.002660,23.888645
0.002700,23.872518
0.002740,23.856154
0.002780,23.839554
0.002820,23.822716
0.002860,23.805642
0.002900,23.788332
0.002940,23.770785
0.002980,23.753003
0.003020,23.734984
0.003060,23.716730
0.003100,23.698241
0.003140,23.679516
0.003180,23.660556
0.003220,23.641361
0.003260,23.621931
0.003300,23.602267
0.003340,23.582368
0.003380,23.562236
0.003420,23.541869
0.003460,23.521268
0.003500,23.500435
0.003540,23.479367
0.003580,23.458067
0.003620,23.436533
0.003660,23.414767
0.003700,23.392769
0.003740,23.370538
0.003780,23.348075
0.003820,23.325381
0.003860,23.302454
0.003900,23.279297
0.003940,23.255908
0.003980,23.232288
0.004020,23.208438
0.004060,23.184357
0.004100,23.160046
0.004140,23.135505
0.004180,23.110734
0.004220,23.085734
0.004260,23.060505
0.004300,23.035046
0.004340,23.009359
0.004380,22.983444
0.004420,22.957300
0.004460,22.930928
0.004500,22.904329
0.004540,22.877502
0.004580,22.850448
0.004620,22.823168
0.004660,22.795660
